epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
151,33502.1,1.41571,1.35656,1.54972,0.86016,0.81581,0.87351,0.58269,1.182,0.77126,1.47574,0.00505,0.00505,0.00505
152,33719.8,1.42111,1.3979,1.55682,0.85835,0.81584,0.87355,0.58292,1.18058,0.77097,1.47411,0.005017,0.005017,0.005017
153,33937.5,1.41181,1.39846,1.55209,0.85927,0.81565,0.87309,0.58404,1.17986,0.76876,1.47339,0.004984,0.004984,0.004984
154,34157.2,1.4233,1.36996,1.56186,0.85943,0.81676,0.87395,0.58416,1.17912,0.76678,1.47254,0.004951,0.004951,0.004951
155,34360.7,1.43793,1.38872,1.56042,0.85599,0.82156,0.87434,0.58389,1.17786,0.7649,1.47154,0.004918,0.004918,0.004918
156,34551.3,1.44311,1.37076,1.55836,0.85844,0.81585,0.87378,0.58459,1.17751,0.76421,1.47099,0.004885,0.004885,0.004885
157,34741.3,1.41629,1.38538,1.54867,0.85838,0.81548,0.87282,0.58552,1.17742,0.76268,1.46989,0.004852,0.004852,0.004852
158,34931.6,1.4283,1.36614,1.56018,0.85868,0.81584,0.87496,0.58568,1.17625,0.76243,1.47,0.004819,0.004819,0.004819
159,35122.2,1.43309,1.39492,1.56208,0.86031,0.81584,0.87295,0.58647,1.17588,0.76193,1.46939,0.004786,0.004786,0.004786
160,35312.8,1.43406,1.38576,1.55109,0.85803,0.81775,0.87292,0.58619,1.17563,0.76095,1.46872,0.004753,0.004753,0.004753
161,35503.3,1.40998,1.38617,1.54444,0.85974,0.81883,0.87303,0.5861,1.17492,0.75955,1.46812,0.00472,0.00472,0.00472
162,35693.8,1.39144,1.34699,1.53618,0.86077,0.81966,0.87321,0.58549,1.17374,0.7579,1.46635,0.004687,0.004687,0.004687
163,35884.4,1.4062,1.3363,1.54389,0.85491,0.82347,0.87356,0.58674,1.17282,0.75639,1.4654,0.004654,0.004654,0.004654
164,36075.1,1.44341,1.40581,1.57441,0.85435,0.82538,0.87436,0.58693,1.17296,0.75511,1.4655,0.004621,0.004621,0.004621
165,36265.8,1.40018,1.35068,1.53501,0.85662,0.82824,0.87646,0.58781,1.17248,0.75376,1.46497,0.004588,0.004588,0.004588
166,36456.6,1.40275,1.33419,1.53996,0.85512,0.82634,0.87554,0.58801,1.17214,0.75292,1.46468,0.004555,0.004555,0.004555
167,36647.5,1.42872,1.37674,1.56776,0.86172,0.82634,0.87811,0.58824,1.1715,0.7513,1.4642,0.004522,0.004522,0.004522
168,36838.3,1.40531,1.35499,1.54628,0.85877,0.82634,0.87658,0.58799,1.17088,0.75034,1.46351,0.004489,0.004489,0.004489
169,37029,1.41319,1.33804,1.55448,0.85948,0.82634,0.8766,0.58752,1.17097,0.74998,1.4632,0.004456,0.004456,0.004456
170,37219.8,1.40556,1.33095,1.53611,0.85994,0.82606,0.87748,0.58803,1.17027,0.74866,1.46316,0.004423,0.004423,0.004423
171,37410.6,1.39351,1.33608,1.53887,0.8625,0.82634,0.87897,0.58833,1.1695,0.74844,1.46238,0.00439,0.00439,0.00439
172,37601.5,1.39686,1.34129,1.54299,0.86748,0.82538,0.87914,0.58851,1.16929,0.7472,1.46197,0.004357,0.004357,0.004357
173,37792.3,1.41208,1.35891,1.548,0.86681,0.82538,0.87952,0.58872,1.16887,0.74662,1.46163,0.004324,0.004324,0.004324
174,37983,1.37402,1.32113,1.51434,0.86858,0.82443,0.88023,0.5898,1.16803,0.74537,1.46101,0.004291,0.004291,0.004291
175,38173.9,1.40446,1.33899,1.53476,0.87181,0.82417,0.88034,0.58972,1.16782,0.74397,1.46134,0.004258,0.004258,0.004258
176,38364.7,1.42227,1.35938,1.55808,0.87232,0.82143,0.88031,0.59048,1.16789,0.74283,1.46132,0.004225,0.004225,0.004225
177,38555.7,1.39308,1.30025,1.53115,0.87434,0.82347,0.88125,0.5905,1.16756,0.74263,1.46081,0.004192,0.004192,0.004192
178,38746.7,1.42948,1.34849,1.55906,0.87333,0.82347,0.88164,0.59013,1.16684,0.74078,1.45976,0.004159,0.004159,0.004159
179,38937.6,1.42624,1.38722,1.55179,0.87352,0.82378,0.88032,0.59038,1.1667,0.73942,1.45958,0.004126,0.004126,0.004126
180,39128.7,1.39823,1.30735,1.53713,0.87425,0.82443,0.88046,0.59132,1.16697,0.73857,1.45962,0.004093,0.004093,0.004093
181,39319.6,1.3999,1.32722,1.53166,0.87281,0.82443,0.88113,0.59152,1.16658,0.73765,1.45927,0.00406,0.00406,0.00406
182,39510.5,1.3926,1.30297,1.53058,0.87088,0.82443,0.88131,0.5907,1.16609,0.73661,1.45849,0.004027,0.004027,0.004027
183,39701.4,1.39175,1.31137,1.5231,0.86547,0.8287,0.88185,0.59088,1.16558,0.7356,1.45775,0.003994,0.003994,0.003994
184,39892.1,1.38241,1.32209,1.52191,0.8664,0.82919,0.88127,0.59103,1.16581,0.73511,1.45787,0.003961,0.003961,0.003961
185,40082.9,1.38251,1.32644,1.51421,0.86547,0.83302,0.88127,0.59066,1.16458,0.73373,1.45707,0.003928,0.003928,0.003928
